Number,From Name,To Number,To Name,ID,Circuit,Status,Xfrmr,From MW,From Mvar,From MVA,Lim MVA,MW Loss,Mvar Loss,Test No,Group,Condition,,
36,QUE,120,NBUSQUEW,126,1,Closed,No,0,0,0,180,0,-8.3,3,LR,OK,,
37,37,38,MACKINTO,127,1,Closed,No,-79.1,-14.8,80.5,180,0.9,-5.2,3,LR,OK,,
39,ROSEBERY,37,37,128,1,Closed,No,-0.6,4.7,4.8,180,0,-8.7,3,LR,OK,,
37,37,42,FARRELL,129,1,Closed,Yes,-79.2,4.9,79.3,180,0.9,-5.1,3,LR,OK,,
37,37,119,QUEENFAR,130,1,Closed,No,-0.5,-21.7,21.7,180,0,-8.6,3,LR,OK,,
37,37,120,NBUSQUEW,131,1,Closed,No,158.2,45.1,164.5,180,0,7.2,3,LR,OK,,
39,ROSEBERY,119,QUEENFAR,132,1,Closed,No,0.6,-4.7,4.8,0,0,0,3,LR,OK,,
40,QUEENSTO,41,NEWTON,133,1,Closed,No,0,-9,9,180,0,-9,3,LR,OK,,
40,QUEENSTO,119,QUEENFAR,134,1,Closed,No,0,9,9,180,0,-8.8,3,LR,OK,,
43,BASTYAN,42,FARRELL,135,1,Closed,No,80,-3,80.1,180,0.9,-5.4,3,LR,OK,,
42,FARRELL,44,JOHN BUT,136,1,Closed,No,-141.1,17.4,142.2,180,2.9,2.6,3,LR,OK,,
42,FARRELL,45,TRIBUTE,137,1,Closed,No,-82,-1.6,82.1,180,1,-5.1,3,LR,OK,,
46,REECE,42,FARRELL,138,1,Closed,No,115,-9.7,115.4,180,1.8,-1.6,3,LR,OK,,
47,REECE,42,FARRELL,139,1,Closed,No,115,-9.7,115.4,180,1.8,-1.6,3,LR,OK,,
121,NBUS,51,FISHER,140,1,Closed,No,53.6,33.3,63.1,180,0.6,-7,3,LR,OK,,
52,ROWALLAN,121,NBUS,141,1,Closed,No,11,-56.7,57.8,180,0.4,-7.7,3,LR,OK,,
54,TAMAR VA,53,53,142,1,Closed,No,200,32.4,202.6,180,5.7,14.2,3,LR,OK,,
53,53,55,BASSLINK,143,1,Closed,No,0.3,-83.9,83.9,180,0.3,-83.9,3,LR,OK,,
56,COMALCO,53,53,144,1,Closed,No,-300,0,300,180,15.6,54.3,3,LR,OK,,
53,53,57,GEORGE T,145,1,Closed,Yes,103.2,-3.3,103.3,180,1.6,-1.7,3,LR,OK,,
57,GEORGE T,59,TEMCO,146,1,Closed,No,101.6,-1.5,101.6,180,1.6,-1.5,3,LR,OK,,
120,NBUSQUEW,132,132,147,1,Closed,No,158.2,46.1,164.8,180,0,29.6,3,LR,OK,,
11,SMITHTON,10,PORT LAT,148,1,Closed,No,-158,20.9,159.4,180,4.6,11.5,4,LR,OK,,
10,PORT LAT,20,BURNIE,149,1,Closed,No,-162.6,9.4,162.9,180,4.7,11.2,4,LR,OK,,
11,SMITHTON,20,BURNIE,150,1,Closed,No,-181.9,-12.9,182.3,100,0,43.5,4,LR,OK,,
33,SLACK,11,SMITHTON,151,1,Closed,Yes,-339.9,204.7,396.7,1000,0,196.7,4,LR,OK,,
12,EMU BAY,13,ULVERSTO,152,1,Closed,No,-10.2,-51.4,52.4,180,0.4,-6.9,4,LR,OK,,
20,BURNIE,12,EMU BAY,153,1,Closed,No,-9.7,-57.2,58,180,0.5,-5.9,4,LR,OK,,
13,ULVERSTO,14,PALOONA,154,1,Closed,No,-10.5,-44.5,45.7,180,0.3,-7.8,4,LR,OK,,
14,PALOONA,15,SHEFFIEL,155,1,Open,No,0,0,0,180,0,0,4,LR,OK,,
15,SHEFFIEL,16,WESLEY V,156,1,Closed,No,0,-11.9,11.9,180,0,-7.9,4,LR,OK,,
15,SHEFFIEL,17,DEVONPOR,157,1,Closed,No,0,-11.9,11.9,180,0,-7.9,4,LR,OK,,
15,SHEFFIEL,18,RAILTON,158,1,Closed,No,0,-7.9,7.9,180,0,-7.9,4,LR,OK,,
19,DEVILS G,15,SHEFFIEL,159,1,Closed,No,-205.6,39.3,209.3,180,7.2,20.8,4,LR,OK,,
20,BURNIE,15,SHEFFIEL,160,1,Closed,No,-21.2,-37.8,43.4,180,0.3,-6.7,4,LR,OK,,
15,SHEFFIEL,22,SHEFF_B2,161,1,Closed,Yes,-234.4,19.1,235.1,1000,0,81.9,4,LR,OK,,
16,WESLEY V,17,DEVONPOR,162,1,Closed,No,0,-4,4,180,0,-8,4,LR,OK,,
19,DEVILS G,21,DEVILS B,163,1,Closed,Yes,205.6,-39.3,209.3,1000,0,66.9,4,LR,OK,,
23,,20,BURNIE,164,1,Closed,Yes,162.9,28.1,165.3,1000,0,41.7,4,LR,OK,,
34,Hamsphir,20,BURNIE,165,1,Closed,No,159.4,-14.3,160.1,180,4.1,8.8,4,LR,OK,,
22,SHEFF_B2,23,,166,1,Closed,No,167.4,37.6,171.5,180,4.4,9.5,4,LR,OK,,
42,FARRELL,22,SHEFF_B2,167,1,Closed,No,447.2,-17.2,447.6,180,28.4,104.5,4,LR,OK,,
48,CETHANA,22,SHEFF_B2,168,1,Closed,No,85,36.2,92.4,180,1.2,-3.8,4,LR,OK,,
49,WILMOT,22,SHEFF_B2,169,1,Closed,No,51,43.6,67.1,180,0.7,-6,4,LR,OK,,
50,LEMONTHY,22,SHEFF_B2,170,1,Closed,No,30,48.5,57,180,0.5,-6.7,4,LR,OK,,
51,FISHER,22,SHEFF_B2,171,1,Closed,No,53,43.1,68.3,180,0.7,-5.9,4,LR,OK,,
53,53,22,SHEFF_B2,172,1,Closed,No,-224.8,52.3,230.9,180,8.1,24.1,4,LR,OK,,
132,132,34,Hamsphir,173,1,Closed,No,159.4,15.6,160.2,180,0,29.9,4,LR,OK,,
132,132,35,Savage r,174,1,Closed,No,0,0,0,180,0,0,4,LR,OK,,
36,QUE,120,NBUSQUEW,175,1,Closed,No,0,0,0,180,0,-8.3,4,LR,OK,,
37,37,38,MACKINTO,176,1,Closed,No,-79.1,-15,80.5,180,0.9,-5.2,4,LR,OK,,
39,ROSEBERY,37,37,177,1,Closed,No,-0.6,4.7,4.8,180,0,-8.7,4,LR,OK,,
37,37,42,FARRELL,178,1,Closed,Yes,-80.4,5.5,80.6,180,0.9,-5,4,LR,OK,,
37,37,119,QUEENFAR,179,1,Closed,No,-0.5,-21.7,21.7,180,0,-8.6,4,LR,OK,,
37,37,120,NBUSQUEW,180,1,Closed,No,159.4,44.7,165.6,180,0,7.4,4,LR,OK,,
39,ROSEBERY,119,QUEENFAR,181,1,Closed,No,0.6,-4.7,4.8,0,0,0,4,LR,OK,,
40,QUEENSTO,41,NEWTON,182,1,Closed,No,0,-9,9,180,0,-9,4,LR,OK,,
40,QUEENSTO,119,QUEENFAR,183,1,Closed,No,0,9,9,180,0,-8.8,4,LR,OK,,
43,BASTYAN,42,FARRELL,184,1,Closed,No,80,-2.6,80,180,0.9,-5.4,4,LR,OK,,
42,FARRELL,44,JOHN BUT,185,1,Closed,No,-141.1,17,142.1,180,2.9,2.6,4,LR,OK,,
42,FARRELL,45,TRIBUTE,186,1,Closed,No,-82,-1.9,82.1,180,1,-5.1,4,LR,OK,,
46,REECE,42,FARRELL,187,1,Closed,No,115,-9.3,115.4,180,1.8,-1.6,4,LR,OK,,
47,REECE,42,FARRELL,188,1,Closed,No,115,-9.3,115.4,180,1.8,-1.6,4,LR,OK,,
121,NBUS,51,FISHER,189,1,Closed,No,53.6,36.2,64.7,180,0.6,-6.9,4,LR,OK,,
52,ROWALLAN,121,NBUS,190,1,Closed,No,11,-59.5,60.5,180,0.4,-7.6,4,LR,OK,,
54,TAMAR VA,53,53,191,1,Closed,No,200,34.1,202.9,180,5.8,14.3,4,LR,OK,,
53,53,55,BASSLINK,192,1,Closed,No,0.3,-83.7,83.7,180,0.3,-83.7,4,LR,OK,,
56,COMALCO,53,53,193,1,Closed,No,-300,0,300,180,15.6,54.5,4,LR,OK,,
